iter	Passed	Remaining
280	810	2072
281	811	2066
282	813	2061
283	817	2060
284	819	2055
285	821	2049
286	823	2046
287	825	2041
288	828	2038
289	830	2033
290	833	2031
291	838	2032
292	840	2028
293	843	2026
294	846	2024
295	849	2019
296	851	2016
297	854	2012
298	856	2008
299	858	2002
300	861	2000
301	863	1995
302	865	1990
303	867	1986
304	870	1983
305	872	1978
306	875	1976
307	878	1973
308	881	1971
309	884	1967
310	886	1963
311	888	1960
312	894	1963
313	899	1965
314	901	1961
315	904	1957
316	908	1956
317	911	1954
318	913	1950
319	917	1949
320	919	1945
321	921	1941
322	924	1938
323	927	1934
324	929	1930
325	932	1927
326	935	1925
327	938	1922
328	940	1918
329	942	1914
330	945	1911
331	968	1949
332	972	1948
333	975	1945
334	978	1941
335	981	1939
336	984	1936
337	987	1933
338	990	1930
339	992	1927
340	997	1927
341	999	1922
342	1001	1917
343	1003	1912
344	1005	1908
345	1007	1903
346	1009	1900
347	1012	1897
348	1014	1892
349	1016	1887
350	1018	1882
351	1020	1878
352	1022	1874
353	1024	1870
354	1026	1865
355	1030	1863
356	1033	1860
357	1036	1858
358	1038	1854
359	1041	1851
360	1044	1849
361	1046	1844
362	1049	1841
363	1051	1837
364	1053	1832
365	1055	1829
366	1059	1828
367	1061	1823
368	1063	1818
369	1065	1814
370	1068	1811
371	1070	1807
372	1072	1803
373	1074	1798
374	1076	1794
375	1078	1789
376	1080	1786
377	1084	1784
378	1087	1782
379	1092	1783
380	1096	1780
381	1098	1776
382	1100	1773
383	1102	1768
384	1105	1765
385	1109	1764
386	1111	1760
387	1114	1757
388	1117	1754
389	1119	1750
390	1122	1748
391	1125	1745
392	1127	1742
393	1130	1738
394	1133	1736
395	1135	1732
396	1138	1728
397	1141	1725
398	1143	1723
399	1146	1719
400	1149	1716
401	1150	1712
402	1153	1708
403	1155	1705
404	1158	1702
405	1161	1699
406	1164	1696
407	1166	1692
408	1168	1689
409	1171	1685
410	1175	1684
411	1177	1680
412	1179	1676
413	1182	1673
414	1185	1670
415	1187	1666
416	1190	1664
417	1194	1662
418	1196	1659
419	1199	1655
420	1201	1652
421	1203	1648
422	1207	1647
423	1209	1643
424	1212	1640
425	1214	1637
426	1217	1634
427	1220	1631
428	1222	1626
429	1225	1624
430	1228	1621
431	1230	1617
432	1233	1614
433	1238	1615
434	1242	1613
435	1244	1609
436	1247	1606
437	1249	1603
438	1252	1600
439	1255	1597
440	1258	1595
441	1263	1594
442	1269	1596
443	1276	1597
444	1279	1595
445	1286	1598
446	1289	1595
447	1292	1592
448	1295	1590
449	1297	1585
450	1300	1582
451	1303	1580
452	1305	1576
453	1308	1574
454	1311	1571
455	1314	1567
456	1316	1563
457	1319	1561
458	1322	1558
459	1324	1554
460	1326	1550
461	1328	1547
462	1330	1543
463	1332	1539
464	1335	1536
465	1337	1532
466	1339	1528
467	1342	1525
468	1345	1522
469	1348	1520
470	1350	1516
471	1352	1512
472	1355	1510
473	1357	1506
474	1360	1503
475	1363	1501
476	1366	1498
477	1368	1494
478	1371	1491
479	1373	1488
480	1382	1491
481	1389	1493
482	1392	1490
483	1395	1487
484	1397	1483
485	1400	1481
486	1402	1477
487	1404	1473
488	1407	1470
489	1409	1466
490	1411	1463
491	1413	1459
492	1415	1455
493	1418	1453
494	1423	1452
495	1426	1449
496	1429	1446
497	1431	1442
498	1433	1439
499	1435	1435
500	1438	1432
501	1439	1428
502	1442	1425
503	1445	1422
504	1447	1419
505	1450	1415
506	1453	1413
507	1455	1410
508	1458	1407
509	1460	1403
510	1462	1399
511	1465	1396
512	1467	1393
513	1469	1389
514	1474	1388
515	1480	1388
516	1481	1384
517	1484	1381
518	1487	1378
519	1489	1375
520	1492	1372
521	1495	1369
522	1497	1366
523	1500	1363
524	1503	1360
525	1505	1356
526	1507	1353
527	1509	1349
528	1512	1346
529	1515	1343
530	1520	1342
531	1522	1339
532	1525	1336
533	1527	1332
534	1530	1330
535	1533	1327
536	1535	1323
537	1537	1320
538	1539	1316
539	1542	1313
540	1545	1310
541	1548	1308
542	1550	1304
543	1553	1302
544	1555	1298
545	1559	1296
546	1561	1293
547	1564	1290
548	1567	1287
549	1569	1284
550	1575	1284
551	1581	1283
552	1585	1281
553	1588	1279
554	1590	1275
555	1592	1271
556	1595	1268
557	1599	1266
558	1602	1263
559	1604	1260
560	1607	1257
561	1609	1254
562	1611	1251
563	1616	1249
564	1619	1246
565	1622	1244
566	1624	1240
567	1627	1237
568	1629	1234
569	1632	1231
570	1635	1228
571	1638	1226
572	1641	1223
573	1644	1220
574	1647	1217
575	1649	1214
576	1652	1211
577	1655	1208
578	1658	1205
579	1660	1202
580	1662	1198
581	1664	1195
582	1667	1192
583	1674	1193
584	1677	1190
585	1680	1187
586	1683	1184
587	1685	1181
588	1688	1178
589	1691	1175
590	1693	1172
591	1697	1169
592	1699	1166
593	1702	1163
594	1704	1160
595	1707	1157
596	1709	1153
597	1713	1151
598	1716	1148
599	1719	1146
600	1722	1143
601	1725	1140
602	1728	1137
603	1731	1135
604	1733	1131
605	1736	1128
606	1738	1125
607	1741	1122
608	1743	1119
609	1746	1116
610	1748	1112
611	1750	1109
612	1752	1106
613	1755	1103
614	1758	1101
615	1761	1098
616	1766	1096
617	1773	1096
618	1775	1093
619	1778	1090
620	1781	1087
621	1785	1084
622	1788	1082
623	1791	1079
624	1794	1076
625	1796	1073
626	1799	1070
627	1802	1067
628	1805	1064
629	1807	1061
630	1810	1058
631	1814	1056
632	1816	1053
633	1819	1050
634	1822	1047
635	1824	1044
636	1827	1041
637	1829	1037
638	1831	1034
639	1834	1031
640	1836	1028
641	1839	1025
642	1841	1022
643	1843	1019
644	1847	1016
645	1849	1013
646	1851	1010
647	1853	1007
648	1856	1004
649	1859	1001
650	1863	998
651	1870	998
652	1873	995
653	1875	992
654	1878	989
655	1881	986
656	1883	983
657	1886	980
658	1890	977
659	1892	975
660	1895	972
661	1898	969
662	1901	966
663	1904	963
664	1908	961
665	1910	958
666	1912	954
667	1915	951
668	1917	948
669	1919	945
670	1922	942
671	1925	939
672	1960	952
673	1968	952
674	1975	951
675	1976	947
676	1979	944
677	1984	942
678	1988	940
679	1991	937
680	1993	934
681	1997	931
682	2000	928
683	2003	925
684	2005	922
685	2008	919
686	2013	917
687	2015	913
688	2017	910
689	2019	907
690	2022	904
691	2024	900
692	2027	897
693	2028	894
694	2031	891
695	2036	889
696	2038	886
697	2041	883
698	2044	880
699	2046	877
700	2049	874
701	2051	871
702	2053	867
703	2059	866
704	2067	865
705	2070	862
706	2073	859
707	2076	856
708	2079	853
709	2083	850
710	2085	847
711	2087	844
712	2090	841
713	2093	838
714	2096	835
715	2098	832
716	2101	829
717	2103	826
718	2105	823
719	2108	819
720	2110	816
721	2113	813
722	2116	810
723	2119	807
724	2122	805
725	2125	802
726	2127	798
727	2129	795
728	2131	792
729	2133	789
730	2135	785
731	2139	783
732	2141	780
733	2144	777
734	2146	774
735	2149	771
736	2152	768
737	2160	766
738	2165	764
739	2167	761
740	2169	758
741	2174	756
742	2178	753
743	2181	750
744	2183	747
745	2186	744
746	2189	741
747	2193	738
748	2195	735
749	2198	732
750	2201	729
751	2205	727
752	2208	724
753	2211	721
754	2215	718
755	2217	715
756	2219	712
757	2222	709
758	2225	706
759	2232	704
760	2237	702
761	2240	699
762	2243	696
763	2246	694
764	2248	690
765	2251	687
766	2256	685
767	2261	683
768	2264	680
769	2267	677
770	2270	674
771	2273	671
772	2276	668
773	2279	665
774	2281	662
775	2284	659
776	2287	656
777	2291	653
778	2293	650
779	2296	647
780	2299	644
781	2301	641
782	2305	638
783	2308	635
784	2311	633
785	2314	630
786	2317	627
787	2320	624
788	2323	621
789	2326	618
790	2329	615
791	2331	612
792	2334	609
793	2337	606
794	2339	603
795	2341	600
796	2344	597
797	2346	593
798	2348	590
799	2351	587
800	2359	586
801	2364	583
802	2369	581
803	2371	578
804	2375	575
805	2376	572
806	2379	569
807	2382	566
808	2385	563
809	2387	560
810	2390	557
811	2393	554
812	2396	551
813	2399	548
814	2403	545
815	2406	542
816	2409	539
817	2412	536
818	2416	534
819	2419	531
820	2421	527
821	2423	524
822	2425	521
823	2428	518
824	2431	515
825	2434	512
826	2436	509
827	2438	506
828	2441	503
829	2443	500
830	2446	497
831	2449	494
832	2455	492
833	2460	489
834	2462	486
835	2464	483
836	2468	480
837	2470	477
838	2474	474
839	2476	471
840	2480	468
841	2482	465
842	2485	462
843	2488	459
844	2491	457
845	2493	453
846	2496	450
847	2498	447
848	2501	444
849	2503	441
850	2505	438
851	2508	435
852	2509	432
853	2511	429
854	2513	426
855	2516	423
856	2519	420
857	2522	417
858	2524	414
859	2527	411
860	2530	408
861	2533	405
862	2535	402
863	2538	399
864	2541	396
865	2542	393
866	2544	390
867	2547	387
868	2555	385
869	2559	382
870	2562	379
871	2565	376
872	2567	373
873	2571	370
874	2573	367
875	2576	364
876	2579	361
877	2582	358
878	2584	355
879	2587	352
880	2590	349
881	2593	346
882	2595	343
883	2599	341
884	2602	338
885	2604	335
886	2606	332
887	2609	329
888	2613	326
889	2615	323
890	2618	320
891	2621	317
892	2624	314
893	2626	311
894	2630	308
895	2632	305
896	2635	302
897	2637	299
898	2643	297
899	2649	294
900	2654	291
901	2657	288
902	2660	285
903	2662	282
904	2665	279
905	2669	276
906	2672	273
907	2674	271
908	2677	268
909	2680	265
910	2683	262
911	2685	259
912	2689	256
913	2691	253
914	2694	250
915	2696	247
916	2699	244
917	2701	241
918	2703	238
919	2707	235
920	2709	232
921	2712	229
922	2715	226
923	2717	223
924	2720	220
925	2723	217
926	2726	214
927	2729	211
928	2732	208
929	2735	205
930	2746	203
931	2750	200
932	2753	197
933	2755	194
934	2757	191
935	2759	188
936	2761	185
937	2764	182
938	2766	179
939	2769	176
940	2773	173
941	2775	170
942	2778	167
943	2780	164
944	2783	162
945	2786	159
946	2789	156
947	2792	153
948	2797	150
949	2799	147
950	2801	144
951	2803	141
952	2806	138
953	2808	135
954	2810	132
955	2814	129
956	2817	126
957	2819	123
958	2822	120
959	2825	117
960	2828	114
961	2830	111
962	2836	108
963	2844	106
964	2850	103
965	2854	100
966	2857	97
967	2859	94
968	2864	91
969	2868	88
970	2871	85
971	2873	82
972	2875	79
973	2879	76
974	2881	73
975	2884	70
976	2888	67
977	2890	65
978	2893	62
979	2896	59
980	2899	56
981	2902	53
982	2904	50
983	2907	47
984	2909	44
985	2912	41
986	2914	38
987	2916	35
988	2919	32
989	2921	29
990	2924	26
991	2974	23
992	2981	21
993	2987	18
994	2993	15
995	2997	12
996	3000	9
997	3002	6
998	3005	3
999	3007	0
