,size_sq_ft,propertyType,bedrooms,latitude,longitude,localityName,suburbName,cityName,price,companyName,closest_mtero_station_km,AP_dist_km,Aiims_dist_km,NDRLW_dist_km
34,1200,Independent Floor,3,28.64507866,77.29383087,Krishna Nagar,Delhi East,Delhi,28000,Arora Properties,0.4204412288993334,22.768860246253702,12.080622395682886,7.15991061910355
35,900,Independent Floor,3,28.64223671,77.28492737,Swasthya Vihar,Delhi East,Delhi,15000,Dream Homez,0.6381800465176604,21.848583469270782,11.255480561213322,6.279970208879072
36,1800,Independent Floor,2,28.630399699999998,77.28824615,Preet Vihar,Delhi East,Delhi,40000,Shivam Real Estate,0.8119874260219068,21.599786171496916,10.55922722041506,6.722242989168241
37,500,Independent Floor,1,28.64478874,77.29419708,Krishna Nagar,Delhi East,Delhi,15000,Aashiyana Real Estate,0.3796945843630725,22.78700853437046,12.08261464263787,7.194076066808276
38,1000,Apartment,2,28.595540999999997,77.29873657,Mayur Vihar,Delhi East,Delhi,20000,Rupak Properties Stock,0.4409156178256923,21.421616800051808,9.4465269416948,9.18757887539988
39,320,Apartment,1,28.60957527,77.29814911,Mayur Vihar,Delhi East,Delhi,9500,Shivam Properties,0.4202831847639393,21.745244262615646,10.025708845815329,8.368719366865735
40,650,Apartment,2,28.59089279,77.30477142,New Ashok Nagar,Delhi East,Delhi,15000,Golden Properties,0.37624959766750393,21.899972789134345,9.853094435250208,9.96529042894905
41,1300,Independent Floor,2,28.63890648,77.29301453,Preet Vihar,Delhi East,Delhi,30000,BK Associates,0.35182255820875263,22.40487781991718,11.54192908072362,7.077279523833452
42,650,Independent House,2,28.59737015,77.30036926,Trilokpuri,Delhi East,Delhi,12300,Prince Associates,0.6737564973658646,21.620855432325836,9.666051463413456,9.2108629555765
43,500,Independent Floor,1,28.59358978,77.30573273,New Ashok Nagar,Delhi East,Delhi,8000,Welcome Properties,0.6554646810569862,22.0483660878373,10.027755406722596,9.87841731779822
44,500,Apartment,1,28.60833931,77.29308319,Mayur Vihar,Delhi East,Delhi,17500,Akash Properties,0.5419934057027894,21.231230101890333,9.524908710930694,7.985732975384361
45,1000,Independent Floor,2,28.64037704,77.2943573,Preet Vihar,Delhi East,Delhi,12000,Arora Properties,0.14306412984172429,22.59213595515655,11.74950408122376,7.20323486413549
46,360,Independent Floor,1,28.59336472,77.30607605,New Ashok Nagar,Delhi East,Delhi,8000,Anand Properties,0.6573498722522524,22.076506681833678,10.052541017285641,9.920152724719637
47,500,Independent Floor,1,28.59229279,77.30554962,New Ashok Nagar,Delhi East,Delhi,12000,Shree Properties,0.5353413575261438,22.003396329276967,9.96910694817622,9.941832191079136
48,550,Apartment,1,28.64195633,77.28265381,Swasthya Vihar,Delhi East,Delhi,14000,Dream Homez,0.775332473159703,21.63558718297246,11.084335505987694,6.057470886093893
49,1650,Independent Floor,3,28.64167976,77.28575897,Swasthya Vihar,Delhi East,Delhi,33500,Shivam Real Estate,0.5401026553245393,21.894396162689567,11.264648695441231,6.361013525801624
50,2350,Independent Floor,3,28.63573074,77.28736877,Preet Vihar,Delhi East,Delhi,35000,Aashiyana Real Estate,0.2672967346131075,21.756778815103324,10.900532197323663,6.552077492235894
51,650,Independent Floor,2,28.60411072,77.2895813,mayur vihar phase 1,Delhi East,Delhi,13000,Shivam Properties,0.07432568396122434,20.774916707057372,9.002173536077555,7.920125045683994
52,1300,Apartment,3,28.59948349,77.29869079999997,mayur vihar phase 1,Delhi East,Delhi,26000,Rupak Properties Stock,0.7025277247903471,21.512998415795003,9.598071912862217,8.94770633804343
53,450,Independent Floor,1,28.60758591,77.28859711,mayur vihar phase 1,Delhi East,Delhi,10000,Akash Properties,0.32308532335106666,20.786603707382113,9.101343128199805,7.640605181587392
54,500,Independent House,1,28.63943291,77.29412842,Preet Vihar,Delhi East,Delhi,10000,BK Associates,0.2461968259513377,22.52817958610329,11.660993681408687,7.1837915584224525
55,550,Independent House,1,28.59600639,77.30013275,Trilokpuri,Delhi East,Delhi,11500,Prince Associates,0.5868843007815738,21.565968857073425,9.592486497128123,9.273020621048431
56,300,Independent Floor,1,28.59108162,77.30537415,New Ashok Nagar,Delhi East,Delhi,5500,Golden Properties,0.4365624210581435,21.96175076434632,9.915514884168182,10.0022194797707
57,700,Apartment,2,28.58986664,77.30442047,New Ashok Nagar,Delhi East,Delhi,14000,Welcome Properties,0.2903594305062799,21.845852544058708,9.78985310728252,10.00190875864989
58,400,Independent Floor,1,28.63736534,77.29382324,Preet Vihar,Delhi East,Delhi,7500,Arora Properties,0.4724396476542201,22.406774448785914,11.482306203781752,7.165749597439902
59,360,Independent Floor,1,28.59257507,77.30594635,New Ashok Nagar,Delhi East,Delhi,8500,Anand Properties,0.5849447951062992,22.047392839392703,10.015186861870168,9.957088188796947
60,300,Independent Floor,1,28.59226227,77.30557251,New Ashok Nagar,Delhi East,Delhi,6500,Shree Properties,0.5345612494907493,22.004961976660038,9.970300626916352,9.945564742132193
61,530,Independent Floor,2,28.64303207,77.2833252,Swasthya Vihar,Delhi East,Delhi,12000,Dream Homez,0.8070682289247273,21.747584773939142,11.21724077281812,6.124796334167911
62,1550,Independent Floor,2,28.6440506,77.30538177,Anand Vihar,Delhi East,Delhi,35500,Shivam Real Estate,0.5130007588647564,23.741622107221733,12.816672149320507,8.283598348505476
63,1400,Independent Floor,3,28.64176178,77.28402709999997,Swasthya Vihar,Delhi East,Delhi,20000,Aashiyana Real Estate,0.6588260199545021,21.7463601055837,11.157454680973869,6.1916843213390855
64,1200,Apartment,2,28.59403992,77.29586792,mayur vihar phase 1,Delhi East,Delhi,27000,Rupak Properties Stock,0.1355157660111399,21.112654024672008,9.126544717082306,9.052018281952929
