,name,details.link,details.line,details.Layout,details.latitude,details.longitude
17,Central Secretariat,https://en.wikipedia.org/wiki/Central_Secretariat_(Delhi_Metro),Yellow Line,Underground,28.615042,77.211785
18,Chandni Chowk,https://en.wikipedia.org/wiki/Chandni_Chowk_(Delhi_Metro),Yellow Line,Underground,28.657838,77.230169
19,Chawri Bazar,https://en.wikipedia.org/wiki/Chawri_Bazar_(Delhi_Metro),Yellow Line,Underground,28.649564,77.226226
20,Chhatarpur,https://en.wikipedia.org/wiki/Chhatarpur_(Delhi_Metro),Yellow Line,Elevated,28.506552,77.174926
21,Chirag Delhi,https://en.wikipedia.org/wiki/Chirag_Delhi_metro_station,Magenta Line,Underground,28.541183,77.231221
22,Civil Lines,https://en.wikipedia.org/wiki/Civil_Lines_(Delhi_Metro),Yellow Line,Underground,28.676921,77.224998
23,Dabri Mor-Janakpuri South,https://en.wikipedia.org/wiki/Dabri_Mor_Metro_Station,Magenta Line,Underground,28.6156417,77.0846446
24,Dashrath Puri,https://en.wikipedia.org/wiki/Dashrath_Puri_metro_station,Magenta Line,Underground,28.601559,77.0820032
25,Delhi Aerocity,https://en.wikipedia.org/wiki/Delhi_Aerocity_(Delhi_Metro),Orange Line,Underground,28.5491,77.1208
26,Delhi Cantonment,https://en.wikipedia.org/wiki/Delhi_Cantonment_metro_station,Pink Line,Elevated,28.6092434,77.1399134
27,Delhi Gate,https://en.wikipedia.org/wiki/Delhi_Gate_metro_station,Violet Line,Underground,28.639731,77.240139
28,Dhaula Kuan,https://en.wikipedia.org/wiki/Dhaula_Kuan_metro_station,Orange Line,Elevated,28.591853,77.16169
29,Dilshad Garden,https://en.wikipedia.org/wiki/Dilshad_Garden_(Delhi_Metro),Red Line,Elevated,28.675556,77.320278
30,Durgabai Deshmukh South Campus,https://en.wikipedia.org/wiki/Durgabai_Deshmukh_South_Campus_metro_station,Pink Line,Elevated,28.589441,77.169475
31,Dwarka,https://en.wikipedia.org/wiki/Dwarka_(Delhi_Metro),Blue Line,Elevated,28.614966,77.022808
32,Dwarka Mor,https://en.wikipedia.org/wiki/Dwarka_Mor_(Delhi_Metro),Blue Line,Elevated,28.619299,77.03344
33,Dwarka Sector 8,https://en.wikipedia.org/wiki/Dwarka_Sector_8_metro_station,Blue Line,Elevated,28.565622,77.067015
34,Dwarka Sector 9,https://en.wikipedia.org/wiki/Dwarka_Sector_9_metro_station,Blue Line,Elevated,28.574311,77.065245
35,Dwarka Sector 10,https://en.wikipedia.org/wiki/Dwarka_Sector_10_metro_station,Blue Line,Elevated,28.581413,77.057
36,Dwarka Sector 11,https://en.wikipedia.org/wiki/Dwarka_Sector_11_metro_station,Blue Line,Elevated,28.5865,77.049426
37,Dwarka Sector 12,https://en.wikipedia.org/wiki/Dwarka_Sector_12_(Delhi_Metro),Blue Line,Elevated,28.592303,77.040682
38,Dwarka Sector 13,https://en.wikipedia.org/wiki/Dwarka_Sector_13_metro_station,Blue Line,Elevated,28.597861,77.032485
39,Dwarka Sector 14,https://en.wikipedia.org/wiki/Dwarka_Sector_14_(Delhi_Metro),Blue Line,Elevated,28.60226,77.025951
40,Dwarka Sector 21,https://en.wikipedia.org/wiki/Dwarka_Sector_21_(Delhi_Metro),Blue Line,Underground,28.552125,77.058016
41,East Azad Nagar,https://en.wikipedia.org/wiki/East_Azad_Nagar_metro_station,Pink Line,Elevated,28.6646649,77.2849077
42,East Vinod Nagar – Mayur Vihar-II,https://en.wikipedia.org/wiki/East_Vinod_Nagar_-_Mayur_Vihar-II_metro_station,Pink Line,Elevated,28.620057,77.30527
