,name,details.link,details.line,details.Layout,details.latitude,details.longitude
91,Kaushambi,https://en.wikipedia.org/wiki/Kaushambi_(Delhi_Metro),Blue Line branch,Elevated,28.645448,77.324379
92,Keshav Puram,https://en.wikipedia.org/wiki/Keshav_Puram_(Delhi_Metro),Red Line,Elevated,28.688903,77.161784
93,Khan Market,https://en.wikipedia.org/wiki/Khan_Market_(Delhi_Metro),Violet Line,Underground,28.60246,77.227883
94,Kirti Nagar†,https://en.wikipedia.org/wiki/Kirti_Nagar_(Delhi_Metro),Blue Line,Elevated,28.6551,77.151473
95,Krishna Nagar,https://en.wikipedia.org/wiki/Krishna_Nagar_metro_station,Pink Line,Elevated,26.794347,80.891724
96,Kohat Enclave,https://en.wikipedia.org/wiki/Kohat_Enclave_(Delhi_Metro),Red Line,Elevated,28.698004,77.140835
97,Lajpat Nagar,https://en.wikipedia.org/wiki/Lajpat_Nagar_(Delhi_Metro),Violet Line,Elevated,28.570607,77.236474
98,Lal Qila,https://en.wikipedia.org/wiki/Lal_Qila_metro_station,Violet Line,Underground,28.656682,77.236612
99,Laxmi Nagar,https://en.wikipedia.org/wiki/Laxmi_Nagar_(Delhi_Metro),Blue Line branch,Elevated,28.629248,77.275273
100,Lok Kalyan Marg,https://en.wikipedia.org/wiki/Lok_Kalyan_Marg_metro_station,Yellow Line,Underground,28.5976354,77.2099924
101,Madipur,https://en.wikipedia.org/wiki/Madipur_(Delhi_Metro),Green Line,Elevated,28.676361,77.119561
102,Maharaja Surajmal Stadium,https://en.wikipedia.org/wiki/Surajmal_Stadium_(Delhi_Metro),Green Line,Elevated,28.681792,77.073953
103,Majlis Park,https://en.wikipedia.org/wiki/Majlis_Park_metro_station,Pink Line,Elevated,28.7237083,77.1775611
104,Major Mohit Sharma,https://en.wikipedia.org/wiki/Major_Mohit_Sharma_metro_station,Red Line,Elevated,28.677631,77.358265
105,Malviya Nagar,https://en.wikipedia.org/wiki/Malviya_Nagar_(Delhi_Metro),Yellow Line,Underground,28.5286861,77.2032917
106,Mandawali – West Vinod Nagar,https://en.wikipedia.org/wiki/Mandawali_-_West_Vinod_Nagar_metro_station,Pink Line,Elevated,28.624906,77.304415
107,Mandi House,https://en.wikipedia.org/wiki/Mandi_House_(Delhi_Metro),Blue Line,Underground,28.625816,77.234724
108,Mansarovar Park,https://en.wikipedia.org/wiki/Mansarovar_Park_(Delhi_Metro),Red Line,Elevated,28.675406,77.301554
109,Maujpur-Babarpur,https://en.wikipedia.org/wiki/Maujpur_-_Babarpur_metro_station,Pink Line,Elevated,28.6921147,77.2796854
110,Mayapuri,https://en.wikipedia.org/wiki/Mayapuri_metro_station,Pink Line,Elevated,28.63717,77.1297305
111,Mayur Vihar -I,https://en.wikipedia.org/wiki/Mayur_Vihar-I_(Delhi_Metro),Blue Line,Elevated,28.604743,77.289328
112,Mayur Vihar Extension,https://en.wikipedia.org/wiki/Mayur_Vihar_Extension_(Delhi_Metro),Blue Line,Elevated,28.594197,77.294494
113,Mayur Vihar Pocket I,https://en.wikipedia.org/wiki/Mayur_Vihar_Pocket_I_metro_station,Pink Line,Elevated,28.605822,77.298763
114,Mewala Maharajpur,https://en.wikipedia.org/wiki/Mewla_Maharajpur_metro_station,Violet Line,Elevated,28.448495,77.30813
115,MG Road,https://en.wikipedia.org/wiki/MG_Road_(Delhi_Metro),Yellow Line,Elevated,28.4796,77.079877
116,Model Town,https://en.wikipedia.org/wiki/Model_Town_(Delhi_Metro),Yellow Line,Elevated,28.702822,77.193868
